"method","gene","moran","pval"
"Seurat","SFTPD",0.274238224486758,0
"Seurat","SHANK3",0.183608196417331,0
"Seurat","SLC15A2",0.104995232198224,0
"Seurat","SLC18A2",0.0557575702344539,0
"Seurat","SLC1A3",0.12016912519031,0
"Seurat","SLC2A1",0.0641482989325662,0
"Seurat","SLC7A11",0.0354339974841184,5.18980535295536e-218
"Seurat","SLIT3",0.210896796776597,0
"Seurat","SMIM24",-8.51498637622846e-05,0.529359263719251
"Seurat","SOX2",0.334008378295184,0
"Seurat","SOX9",0.114168360491948,0
"Seurat","SPDEF",0.0836595628230498,0
"Seurat","SPIB",0.110817142623095,0
"Seurat","STAT4",0.110099015217064,0
"Seurat","STC1",0.0784685449612236,0
"Seurat","STEAP4",0.35808992566503,0
"Seurat","SVEP1",0.141551295458879,0
"Seurat","SYK",0.101301506595862,0
"Seurat","TACSTD2",0.334588919672157,0
"Seurat","TC2N",0.161288175353431,0
"Seurat","THBS2",0.245153557164672,0
"Seurat","THY1",0.19996259692562,0
"Seurat","TM4SF18",0.0883153783147754,0
"Seurat","TM4SF4",0.109587916262548,0
"Seurat","TMC5",0.432090969603455,0
"Seurat","TMEM100",0.233557414900615,0
"Seurat","TMPRSS2",0.505120246125072,0
"Seurat","TNFRSF13B",0.13369180137906,0
"Seurat","TNFRSF13C",0.318516624999903,0
"Seurat","TNFRSF17",0.168491367023292,0
"Seurat","TNFRSF18",0.00108688938144173,0.164981948928472
"Seurat","TOP2A",0.192573223722458,0
"Seurat","TP63",0.17907464577845,0
"Seurat","TP73",0.256812256723938,0
"Seurat","TREM2",0.151083030941693,0
"Seurat","TRPC6",0.077025449611375,0
"Seurat","TSPAN8",0.326197383888582,0
"Seurat","UBE2C",0.102447262243826,0
"Seurat","UPK1B",0.154042652342724,0
"Seurat","UPK3B",0.0764088696657793,0
"Seurat","VSIG4",0.197736420336077,0
"Seurat","VWF",0.245387301969448,0
"Seurat","WFS1",0.0638666581428097,0
"Seurat","WNT2",0.0589007283314908,0
"Seurat","WT1",-0.000124615768052221,0.54325636676981
"Baysor","ACE",0.121442418126982,0
"Baysor","ACE2",0.193708522536683,0
"Baysor","ACKR1",0.295369127031133,0
"Baysor","ADAM17",0.0324899306968039,1.20743750730937e-232
"Baysor","ADAM28",0.15085162046762,0
"Baysor","ADAMTS1",0.262977480614086,0
"Baysor","ADGRL4",0.0997121363329823,0
"Baysor","AGER",0.393562423454572,0
"Baysor","AGR3",0.489356890778221,0
"Baysor","AIF1",0.169372627391234,0
"Baysor","ANPEP",0.137996433846618,0
"Baysor","APOD",0.2908740169022,0
"Baysor","APOLD1",0.12110699458636,0
"Baysor","AQP9",0.151943965968763,0
"Baysor","AREG",0.115652367725637,0
"Baysor","ARL14",0.0259601510193121,1.87717197028678e-149
"Baysor","ASCL1",0.218699445940903,0
"Baysor","ASCL2",0.0326790735785036,2.27877315754703e-235
"Baysor","ASCL3",0.00296623936399548,0.00146135813186732
"Baysor","ATP1B1",0.272684520019784,0
"Baysor","BAIAP2L1",0.212024468812511,0
"Baysor","BANK1",0.149720413456333,0
"Baysor","BCAS1",0.194931897312773,0
"Baysor","BMX",0.0967285440616012,0
"Baysor","CA4",0.10937907372161,0
"Baysor","CCDC78",0.502928195854373,0
"Baysor","CCNA1",0.164570928296591,0
"Baysor","CCNB2",0.112720017914575,0
"Baysor","CCR7",0.215072732949484,0
"Baysor","CD14",0.115143721523389,0
"Baysor","CD163",0.126651716239036,0
"Baysor","CD19",0.175141282340577,0
"Baysor","CD1A",0.0728797326335745,0
"Baysor","CD1C",0.0832151718280277,0
"Baysor","CD2",0.203974560683454,0
"Baysor","CD24",0.417992707281525,0
"Baysor","CD247",0.103895167761758,0
"Baysor","CD27",0.122227423532772,0
"Baysor","CD274",0.0750926528431903,0
"Baysor","CD28",0.154581149645596,0
"Baysor","CD300E",0.0569637911082856,0
"Baysor","CD34",0.104800593265889,0
"Baysor","CD38",0.139146492633059,0
"Baysor","CD3D",0.152192355832935,0
"Baysor","CD3E",0.204035278207783,0
"Baysor","CD4",0.124692022267199,0
"Baysor","CD40",0.0284323862995929,9.89466624922439e-179
"Baysor","CD40LG",0.118220021143017,0
"Baysor","CD68",0.180872459694397,0
"Baysor","CD70",0.00836971574720479,2.39670119227986e-17
"Baysor","CD79A",0.238434567131866,0
"Baysor","CD80",0.0587764600157257,0
"Baysor","CD86",0.11071420578843,0
"Baysor","CD8A",0.120859764132463,0
"Baysor","CD8B",0.0314586965692899,2.74591432116811e-218
"Baysor","CDH1",0.417666281732119,0
"Baysor","CDK1",0.111251122559524,0
"Baysor","CENPF",0.11505998958353,0
"Baysor","CFB",0.238044171643238,0
"Baysor","CFTR",0.1388868550034,0
"Baysor","CHIT1",0.366487554102194,0
"Baysor","CLDN5",0.0946340115767752,0
"Baysor","CLEC10A",0.0769274329142057,0
"Baysor","CLEC12A",0.0745113295562011,0
"Baysor","CLEC4E",0.0564580245256363,0
"Baysor","CNN1",0.453094522971381,0
"Baysor","COL5A2",0.0753331344362137,0
"Baysor","COL8A1",0.207600151589311,0
"Baysor","CP",0.481789074383949,0
"Baysor","CSPG4",0.0931891441362777,0
"Baysor","CSTA",0.0885574201658137,0
"Baysor","CTLA4",0.135526943898931,0
"Baysor","CTSL",0.108594569192519,0
"Baysor","CTTN",0.202254053745538,0
"Baysor","CXCL10",0.356027100961613,0
"Baysor","CXCL13",0.250325072418567,0
"Baysor","CXCL5",0.0903202060301231,0
"Baysor","CXCL6",0.333074201987337,0
"Baysor","CXCL9",0.385625572639597,0
"Baysor","CXCR5",0.114450393027852,0
"Baysor","CXCR6",0.0551386115916991,0
"Baysor","CYP2F1",0.368209299824579,0
"Baysor","DAPK2",0.0626995969443772,0
"Baysor","DCLK1",0.175936836983418,0
"Baysor","DES",0.489350987230419,0
"Baysor","DGKG",0.102108124905373,0
"Baysor","DIRAS3",0.0444279424590228,0
"Baysor","DMBT1",0.164489903219073,0
"Baysor","DNAJB9",0.10393537410683,0
"Baysor","DPP6",0.0190125658558036,3.31010087285787e-81
"Baysor","DUOX1",0.160390504289051,0
"Baysor","ECSCR",0.117283306539345,0
"Baysor","EGFR",0.268736794598539,0
"Baysor","EHF",0.382036086596096,0
"Baysor","ELF3",0.267130813095831,0
"Baysor","ENAH",0.142476719938629,0
"Baysor","EPCAM",0.415789741288148,0
"Baysor","ETV5",0.0935912022593296,0
"Baysor","F3",0.18499252048687,0
"Baysor","FABP3",0.295763886454384,0
"Baysor","FAM184A",0.131875477017188,0
"Baysor","FAS",0.039830369868143,0
"Baysor","FASLG",0.0116221454210198,1.20367152836557e-31
"Baysor","FASN",0.123469200360814,0
"Baysor","FBN1",0.110206233759791,0
"Baysor","FCER1A",0.0870447496185379,0
"Baysor","FCGR1A",0.151680619979727,0
"Baysor","FCGR3A",0.190729336685239,0
"Baysor","FCMR",0.262054339863788,0
"Baysor","FCN1",0.0689993033538838,0
"Baysor","FCN3",0.225973652523858,0
"Baysor","FGFBP2",0.0416686832609231,0
"Baysor","FGFR4",0.112294108276438,0
"Baysor","FKBP11",0.0702969510105999,0
"Baysor","FOXI1",0.00808704557128286,2.55587275418336e-16
"Baysor","FOXJ1",0.32485285876856,0
"Baysor","FOXP3",0.0880764561803788,0
"Baysor","FSCN1",0.18003813397679,0
"Baysor","GJA5",0.123837490631337,0
"Baysor","GKN2",0.129634340050226,0
"Baysor","GLCCI1",0.110652585362541,0
"Baysor","GLIPR2",0.0783547893276551,0
"Baysor","GNG11",0.125471098904629,0
"Baysor","GPI",0.096271964503262,0
"Baysor","GPR171",0.157864876995866,0
"Baysor","GPR183",0.192770049260768,0
"Baysor","GPR34",0.0698914191368194,0
"Baysor","GPX2",0.185473661615976,0
"Baysor","GZMA",0.100805200192484,0
"Baysor","GZMB",0.0566583241087856,0
"Baysor","GZMK",0.152446830396249,0
"Baysor","HAVCR2",0.118412371403119,0
"Baysor","HIF1A",0.0464472166824291,0
"Baysor","HIGD1B",0.0288351135467509,8.37595697404439e-184
"Baysor","HMGCS1",0.0777813884910705,0
"Baysor","HP",0.0430598487561795,0
"Baysor","HPGDS",0.0756253412989952,0
"Baysor","ICA1",0.251159015486075,0
"Baysor","IGF1",0.112841605562783,0
"Baysor","IGFBP3",0.204399375961381,0
"Baysor","IL1RL1",0.138314169270603,0
"Baysor","IL7R",0.260364811642809,0
"Baysor","IQGAP2",0.0808341003114594,0
"Baysor","IRF8",0.157213102347086,0
"Baysor","ITGAM",0.0998799986739321,0
"Baysor","ITGB4",0.158232120511698,0
"Baysor","KCNK3",0.093364867027944,0
"Baysor","KDR",0.100794949887734,0
"Baysor","KIT",0.144416293680365,0
"Baysor","KLF5",0.249747725860989,0
"Baysor","KLK11",0.215530407205987,0
"Baysor","KLRB1",0.142277419200759,0
"Baysor","KLRC1",0.00500842339874461,2.5640293184478e-07
"Baysor","KLRD1",0.038314668732285,1.33397724377137e-322
"Baysor","KRT15",0.179930918659775,0
"Baysor","KRT7",0.305120360551327,0
"Baysor","LAG3",0.0393420040503145,0
"Baysor","LAMC3",0.046553406798126,0
"Baysor","LCK",0.109507324410118,0
"Baysor","LGALS3BP",0.308025990419644,0
"Baysor","LGR5",0.0478474428039927,0
"Baysor","LGR6",0.13278847643971,0
"Baysor","LILRA4",0.0518564211514801,0
"Baysor","LILRA5",0.0282152629927764,4.33412324264128e-176
"Baysor","LILRB2",0.0547380323186032,0
"Baysor","LILRB4",0.143481222895962,0
"Baysor","LMOD1",0.237730989012027,0
"Baysor","LTBP2",0.189070914161537,0
"Baysor","LTF",0.345486688095696,0
"Baysor","LYVE1",0.142353413374911,0
"Baysor","MALL",0.248280159284059,0
"Baysor","MAP7",0.223544264714554,0
"Baysor","MARCO",0.281119546989418,0
"Baysor","MCEMP1",0.175442099168172,0
"Baysor","MEDAG",0.0611619523555463,0
"Baysor","MET",0.203169156504252,0
"Baysor","MFAP5",0.0441526023653743,0
"Baysor","MIS18BP1",0.0351733963574998,3.06603947822626e-272
"Baysor","MKI67",0.143792349574949,0
"Baysor","MMP12",0.282874291237913,0
"Baysor","MMP9",0.214953076918674,0
"Baysor","MMRN1",0.233359562866704,0
"Baysor","MPEG1",0.119842487173456,0
"Baysor","MS4A1",0.314505013328362,0
"Baysor","MS4A2",0.0997465848583774,0
"Baysor","MS4A4A",0.15555096658766,0
"Baysor","MTUS1",0.0906126864797751,0
"Baysor","MUC1",0.408331461486541,0
"Baysor","MUC5B",0.588957462229578,0
"Baysor","MYC",0.126448452557786,0
"Baysor","MYH11",0.511476356350053,0
"Baysor","MYO6",0.195344971460704,0
"Baysor","MZB1",0.258110920759813,0
